# schema=touchstone.steering-rubric/v1
id	product_job	observed_failure	authoritative_owner	enforcement_layer	trigger	deduplication	context_cost	test_or_scenario	verdict
role-division	constrain	Humans became a diff-reading merge gate	TOUCHSTONE.md	prose	Every change	Canonical purpose only	low	structural-universal	keep
effective-policy	constrain	Docs were mistaken for installed protection	TOUCHSTONE.md	GitHub	Before delivery	Routed detail	medium	structural-universal	keep
no-band-aids	constrain	Symptom fixes accumulated repeated defects	principles/engineering-principles.md	prose	Every fix	Router summary only	low	authoring	keep
fix-regression	constrain	Bug fixes regressed without a failing test	principles/engineering-principles.md	CI	Every bug fix	Router summary only	low	authoring	keep
branch-first	constrain	Edits were committed on the default branch	TOUCHSTONE.md	hook+prose	Before first edit	One universal section	high	authoring	keep
routing-table	carry	Rules were duplicated or stale in multiple prompts	TOUCHSTONE.md	prose	Named trigger	Canonical router	high	structural-routes	keep
no-silent-failures	constrain	Incomplete validation was reported as success	principles/engineering-principles.md	prose	Validation failure	Router summary only	low	validation	keep
adoption-ambiguity	constrain	Competing project evidence was guessed	product-contract.md	CLI	Adoption detection	Compiler boundary only	medium	validation	keep
review-required	constrain	Approval count missed COMMENTED review evidence	TOUCHSTONE.md	GitHub+prose	Every PR	Details routed to git workflow	medium	delivery	keep
security-quota	constrain	Quota notices were treated as terminal review results	TOUCHSTONE.md	GitHub+prose	Quota notice	Detail routed to git workflow	medium	delivery	keep
exact-head-request	constrain	Review evidence bound to stale heads	TOUCHSTONE.md	GitHub	After head movement	Details routed to git workflow	medium	delivery	keep
answer-findings	constrain	Resolved threads lacked answers and body findings were missed	TOUCHSTONE.md	GitHub	Review feedback	Details routed to git workflow	medium	delivery	keep
scope-authority	constrain	Review expanded the approved product scope	TOUCHSTONE.md	prose	Review feedback	Canonical rule plus routed detail	medium	delivery	keep
head-bound-merge	constrain	Head moved between review and merge	TOUCHSTONE.md	GitHub	Merge	Raw recovery command retained	medium	delivery	keep
